66.249.75.155 - - [24/Feb/2016:23:28:28 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "-" "Googlebot-Image/1.0" "dimennabrotherspainting.com"
180.76.15.138 - - [25/Feb/2016:00:39:57 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "dimennabrotherspainting.com"
131.253.38.67 - - [25/Feb/2016:02:27:55 -0800] "GET /BingSiteAuth.xml HTTP/1.1" 200 85 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
131.253.38.67 - - [25/Feb/2016:02:27:55 -0800] "GET /BingSiteAuth.xml HTTP/1.1" 200 85 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "dimennabrotherspainting.com"
69.30.210.242 - - [25/Feb/2016:07:06:20 -0800] "GET /about_us HTTP/1.1" 200 15097 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
69.30.210.242 - - [25/Feb/2016:07:06:21 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
69.30.210.242 - - [25/Feb/2016:07:06:22 -0800] "GET /home HTTP/1.1" 200 35297 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
69.30.210.242 - - [25/Feb/2016:07:06:25 -0800] "GET /services HTTP/1.1" 200 16978 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "dimennabrotherspainting.com"
69.63.188.212 - - [25/Feb/2016:07:46:02 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 200 19272 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "dimennabrotherspainting.com"
66.249.75.69 - - [25/Feb/2016:07:48:16 -0800] "GET /_assets/DiMenna_100th.jpg HTTP/1.1" 200 26342 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
66.249.75.155 - - [25/Feb/2016:11:16:27 -0800] "GET /yahoo_site_admin/assets/images/house_2.202134301_std.JPG HTTP/1.1" 200 97042 "-" "Googlebot-Image/1.0" "dimennabrotherspainting.com"
66.249.75.60 - - [25/Feb/2016:12:57:51 -0800] "GET /_assets/DiMenna_102th.jpg HTTP/1.1" 200 24886 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
207.46.13.174 - - [25/Feb/2016:13:59:45 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.dimennabrotherspainting.com"
